time,signal
1903,4.531666667
1904,3.948333333
1905,4.806666667
1906,4.566666667
1907,4.868333333
1908,4.976666667
1909,4.513333333
1910,5.978333333
1911,6.57
1912,4.993333333
1913,5.85
1914,6.075
1915,5.115
1916,4.721666667
1917,5.865
1918,5.14
1919,4.05
1920,3.866666667
1921,4.831666667
1922,6.385
1923,7.285
1924,6.903333333
1925,6.688333333
1926,6.21
1927,4.881666667
1928,4.186666667
1929,3.878333333
1930,3.63
1931,5.541666667
1932,4.816666667
1933,4.16
1934,7.38
1935,7.995
1936,6.655
1937,7.238333333
1938,6.006666667
1939,3.75
1940,4.31
1941,3.875
1942,4.616666667
1943,5.676666667
1944,4
1945,3.535
1946,4.671666667
1947,5.113333333
1948,4.272
1949,3.7125
1950,3.81
1951,4.785
1952,4.74
1953,5.345
1954,5.935
1955,5.138333333
1956,2.98
1957,4.67
1958,4.906666667
1959,5.785
1960,6.363333333
1961,6.263333333
1962,5.69
1963,6.285
1964,5.928333333
1965,6.788333333
1966,7.405
1967,7.72
1968,8.645
1969,8.858333333
1970,8.203333333
1971,7.675
1972,7.833333333
1973,7.22
1974,5.466666667
1975,5.431666667
1976,4.778333333
1977,6.495
1978,6.976666667
1979,5.498333333
1980,6.173333333
1981,4.186
1982,4.855
1983,6.528333333
1984,6.72
1985,6.81
1986,8.256666667
1987,7.111666667
1988,6.775
1989,6.82
1990,7.776666667
1991,8.73
1992,8.86
1993,9.77
1994,9.25
1995,9.03
1996,8.616666667
1997,7.555
1998,7.445
1999,7.833333333
2000,8.93
2001,10.535
2002,8.265
2003,7.953333333
2004,6.82
2005,6.181666667
2006,5.488333333
2007,5.553333333
2008,5.943333333
2009,6.813333333
2010,7.676666667
2011,7.296666667
2012,6.511666667
2013,6.088333333
2014,5.776666667
2015,5.475
2016,4.623333333
2017,4.455
2018,5.886
2019,4.35
2020,4.925
2021,5.276666667
